survey	prefix	suffix	eastLong	northLat	southLat	westLong	area	year	corrupted	clean_size	original_size	panels	dx	quality	migration_technique	split	platform	organization
b-01-75-at	b-01	at	-70.39941	40.5882	37.85201	-74.59488	Oceano Atlântico Norte	1975	0	254.0364876	1496.8	31	50	regular	Kirchhoff Time Migration	Treino	Digicon	Bureau of Ocean Energy Management
b-01-80-at	b-01	at	-74.22113	36.35034	30.44691	-80.29978	Oceano Atlântico Norte	1980	0	290.4140053	1214.1	44	37.5	regular	Kirchhoff Time Migration	Treino	Unspecified	Bureau of Ocean Energy Management
b-01-81-at	b-01	at	-66.81061	41.01726	30.18925	-79.63947	Oceano Atlântico Norte	1981	0	291.1076584	2487.8	25	25	boa	Kirchhoff Time Migration	Treino	Geosource	Bureau of Ocean Energy Management
b-01-82-at	b-01	at	-79.05779	27.73637	23.0575	-81.83333	Oceano Atlântico Norte	1982	0	289.3278847	1098.8	9	16.67	regular	Kirchhoff Time Migration	Treino	Petroleum Services	Bureau of Ocean Energy Management
b-01-83-at	b-01	at	-67.62827	40.72845	40.47707	-68.02356	Oceano Atlântico Norte	1983	0	254.8721313	265.2	25	12.5	regular	Kirchhoff Time Migration	Treino	Mobile E&P Services	Bureau of Ocean Energy Management
b-01-84-at	b-01	at	-65.55663	42.88342	40.84101	-68.43222	Oceano Atlântico Norte	1984	0	287.3470802	659.8	39	25	regular	None	Treino	Digicon	Bureau of Ocean Energy Management
b-01-88-at	b-01	at	-71.10319	40.58421	36.40586	-75.86776	Oceano Atlântico Norte	1988	0	153.519104	158.1	20	25	boa	None	Treino	Unspecified	Bureau of Ocean Energy Management
b-02-77-at	b-02	at	-74.88113	34.90825	29.23044	-80.19054	Oceano Atlântico Norte	1977	0	201.3274956	217.1	21	50	boa	Kirchhoff Time Migration	Treino	Digicon	Bureau of Ocean Energy Management
b-02-79-at	b-02	at	-67.10769	41.08964	40.31587	-68.37227	Oceano Atlântico Norte	1979	0	286.9824219	322.6	36	22.5	regular	Kirchhoff Time Migration	Treino	Teledyne	Bureau of Ocean Energy Management
b-02-80-at	b-02	at	-74.2339	36.57456	30.46867	-80.35692	Oceano Atlântico Norte	1980	0	291.2446136	937.1	40	50	boa	Kirchhoff Time Migration	Treino	Unspecified	Bureau of Ocean Energy Management
b-02-81-ar	b-02	ar	-150.24922	71.0748	70.53068	-153.88936	Oceano Ártico	1981	0	72.49905396	76	19	None	regular	None	Treino	Unspecified	Bureau of Ocean Energy Management
b-02-82-at	b-02	at	-70.47128	40.13045	32.50949	-76.56231	Oceano Atlântico Norte	1982	0	161.9199638	6238.4	21	37.5	boa	None	Treino	Digicon	Bureau of Ocean Energy Management
b-02-84-at	b-02	at	-66.00103	42.23814	41.14232	-67.12689	Oceano Atlântico Norte	1984	0	168.2887688	175.4	33	25	regular	None	Treino	Arco	Bureau of Ocean Energy Management
b-03-75-at	b-03	at	-65.41089	42.42009	39.08582	-72.27982	Oceano Atlântico Norte	1975	0	290.0045662	2444.8	37	50	boa	Kirchhoff Time Migration	Treino	Unspecified	Bureau of Ocean Energy Management
b-03-80-ar	b-03	ar	-149.33446	70.87682	70.51406	-152.02037	Oceano Ártico	1980	0	35.47590637	37.1	13	None	regular	None	Treino	Unspecified	Bureau of Ocean Energy Management
b-03-81-at	b-03	at	-66.86182	40.87925	39.58546	-70.94288	Oceano Atlântico Norte	1981	0	129.3141975	2778.2	21	37.5	boa	None	Treino	Digicon	Bureau of Ocean Energy Management
b-03-82-at	b-03	at	-66.66324	40.49623	39.77402	-68.30966	Oceano Atlântico Norte	1982	0	97.96411514	319	10	30	boa	Kirchhoff Time Migration	Treino	Unspecified	Bureau of Ocean Energy Management
