SURVEY	FILE	DATA FORMAT	SORTING CODE	MEASUREMENT SYSTEM	SEGY REVISION	FIXED LENGTH TRACE	NUM TRACES	TRACE IDENTIFICATION	TRACE NS	TRACE DT	SPLIT	size_mb
b-01-75-at	A-124_migr.segy	1	4	2	0	0	725	1	1751	4000	Train	5.0779
b-01-75-at	A-130_migr.segy	1	4	2	0	0	1101	1	1751	4000	Train	7.711404
b-01-75-at	A-131_migr.segy	1	4	2	0	0	1528	1	1751	4000	Train	10.702112
b-01-75-at	A-135_migr.segy	1	4	2	0	0	1530	1	1751	4000	Train	10.71612
b-01-75-at	A-143A_migr.segy	1	4	2	0	0	1057	1	1751	4000	Train	7.403228
b-01-75-at	A-145_migr.segy	1	4	2	0	0	397	1	1751	4000	Train	2.780588
b-01-75-at	A-148_migr.segy	1	4	2	0	0	2867	1	1751	4000	Train	20.080468
b-01-75-at	A-148B_migr.segy	1	4	2	0	0	618	1	1751	4000	Train	4.328472
b-01-75-at	A-150_migr.segy	1	4	2	0	0	3086	1	1751	4000	Train	21.614344
b-01-75-at	A-152_migr.segy	1	4	2	0	0	2710	1	1751	4000	Train	18.98084
b-01-75-at	A-157B_migr.segy	1	4	1	256	1	408	1	2151	4000	Train	3.510432
b-01-75-at	A-161A_migr.segy	1	4	2	0	0	383	1	2151	4000	Train	3.295332
b-01-75-at	A-166_migr.segy	1	4	2	0	0	4009	1	1751	4000	Train	28.079036
b-01-75-at	A-167_migr.segy	1	4	2	0	0	836	1	1751	4000	Train	5.855344
b-01-75-at	A-168_migr.segy	1	4	2	0	0	1104	1	1751	4000	Train	7.732416
b-01-75-at	A-170A_migr.segy	1	4	2	0	0	551	1	1751	4000	Train	3.859204
b-01-75-at	A-174D.segy	1	4	2	0	0	1437	1	2251	4000	Train	12.938748
b-01-75-at	A-177_migr.segy	1	4	2	0	0	1343	1	1751	4000	Train	9.406372
b-01-75-at	A-181_migr.segy	1	4	2	0	0	635	1	1726	4000	Train	4.38404
b-01-75-at	A-183_migr.segy	1	4	2	0	0	833	1	1751	4000	Train	5.834332
b-01-75-at	A-187_migr.segy	1	4	2	0	0	834	1	1726	4000	Train	5.757936
b-01-75-at	A-197A_migr.segy	1	4	2	0	0	213	1	2001	4000	Train	1.704852
b-01-75-at	A-201_migr.segy	1	4	2	0	0	884	1	1751	4000	Train	6.191536
b-01-75-at	A-201A_migr.segy	1	4	2	0	0	724	1	1976	4000	Train	5.722496
b-01-75-at	A-209_migr.segy	1	4	2	0	0	1559	1	2151	4000	Train	13.413636
b-01-75-at	A-213A_migr.segy	1	4	2	0	0	1022	1	1726	4000	Train	7.055888
