acquisitionInformation.acquisitionParameters.acquisitionSystemName	acquisitionInformation.acquisitionParameters.acquisitionSystemType	acquisitionInformation.acquisitionParameters.antennaToSource_inMeters	acquisitionInformation.acquisitionParameters.cableLength_inMeters	acquisitionInformation.acquisitionParameters.cableReceiverDepthRecorded	acquisitionInformation.acquisitionParameters.cableReceiverDepth_inMeters	acquisitionInformation.acquisitionParameters.channelLength_inMeters	acquisitionInformation.acquisitionParameters.compassBirds	acquisitionInformation.acquisitionParameters.nearChannelNumber	acquisitionInformation.acquisitionParameters.numberOfCables	acquisitionInformation.acquisitionParameters.numberOfChannelsEachCable	acquisitionInformation.acquisitionParameters.numberOfChannelsRecorded	acquisitionInformation.acquisitionParameters.receiverType	acquisitionInformation.acquisitionParameters.recordLength_inSeconds	acquisitionInformation.acquisitionParameters.sampleInterval_inMicroseconds	acquisitionInformation.acquisitionParameters.seismicNavSystem	acquisitionInformation.acquisitionParameters.shotControl	acquisitionInformation.acquisitionParameters.shotInterval_inSecondsOrMeters	acquisitionInformation.acquisitionParameters.sourceArraySeparation_inMeters	acquisitionInformation.acquisitionParameters.sourceDepth_inMeters	acquisitionInformation.acquisitionParameters.sourceNumber	acquisitionInformation.acquisitionParameters.sourcePressure_inBars	acquisitionInformation.acquisitionParameters.sourceToNearChannel_inMeters	acquisitionInformation.acquisitionParameters.sourceType	acquisitionInformation.acquisitionParameters.sourceVolume	acquisitionInformation.acquisitionParameters.sourceVolumeUnits	acquisitionInformation.acquisitionParameters.tailBuoyPositioning	acquisitionInformation.platformInformation.platform	acquisitionInformation.platformInformation.platformOrganization	acquisitionInformation.seismicNavFile.dataFileFormat	acquisitionInformation.seismicNavFile.offsetsApplied	acquisitionInformation.seismicNavFile.surveyDatum	datasetInformation.boundingCoordinates.eastLong	datasetInformation.boundingCoordinates.northLat	datasetInformation.boundingCoordinates.southLat	datasetInformation.boundingCoordinates.westLong	datasetInformation.dataClass	datasetInformation.dataContact.contactInformation.email	datasetInformation.dataContact.contactInformation.name	datasetInformation.dataContact.contactInformation.organization	datasetInformation.dataContact.contactInformation.role	datasetInformation.dataMedia	datasetInformation.dataType	datasetInformation.datasetAccessControl.accessControl.accessPerson.contactInformation.email	datasetInformation.datasetAccessControl.accessControl.accessPerson.contactInformation.name	datasetInformation.datasetAccessControl.accessControl.accessPerson.contactInformation.organization	datasetInformation.datasetAccessControl.accessControl.accessPerson.contactInformation.role	datasetInformation.datasetAccessControl.accessControl.accessReleaseDate	datasetInformation.datasetAccessControl.accessControl.accessState	datasetInformation.datasetContentLink	datasetInformation.datasetDescription	datasetInformation.datasetID	datasetInformation.datasetProcessing.processingParameters.processContact.contactInformation.email	datasetInformation.datasetProcessing.processingParameters.processContact.contactInformation.name	datasetInformation.datasetProcessing.processingParameters.processContact.contactInformation.organization	datasetInformation.datasetProcessing.processingParameters.processContact.contactInformation.role	datasetInformation.datasetProcessing.processingParameters.processingScope	datasetInformation.datasetProcessing.processingParameters.processingStep	datasetInformation.datasetProcessing.processingParameters.processingStepDate	datasetInformation.datasetQualityDescription	datasetInformation.datasetSize	datasetInformation.datasetStartDate.date	datasetInformation.datasetStartDate.dateTypeCode	datasetInformation.datasetTitle	datasetInformation.datasetZipLink	datasetInformation.documentation.citationInformation.author	datasetInformation.documentation.citationInformation.citationDate.date	datasetInformation.documentation.citationInformation.citationDate.dateTypeCode	datasetInformation.documentation.citationInformation.doi	datasetInformation.documentation.citationInformation.journalName	datasetInformation.documentation.citationInformation.onlineLinkage	datasetInformation.documentation.citationInformation.page	datasetInformation.documentation.citationInformation.title	datasetInformation.documentation.citationInformation.volume	datasetInformation.geographicFeatures.featureName	datasetInformation.processedDataClass	datasetInformation.processedMethod	datasetInformation.purpose	datasetInformation.resourceProvider.contactInformation.email	datasetInformation.resourceProvider.contactInformation.name	datasetInformation.resourceProvider.contactInformation.organization	datasetInformation.resourceProvider.contactInformation.role	datasetInformation.seismicDataProvenance	datasetInformation.supplementalInformation	datasetInformation.temporalExtent.endDate	datasetInformation.temporalExtent.startDate	metadataInformation.dateOfSubmission	metadataInformation.metadataContact.contactInformation.email	metadataInformation.metadataContact.contactInformation.name	metadataInformation.metadataContact.contactInformation.organization	metadataInformation.metadataContact.contactInformation.role	metadataInformation.metadataDate	metadataInformation.metadataStandard
	digital											Hydrophone_Streamer											SeismicSource_Sparker				Auriga	Unspecified	410	undocumented	WGS84	-117.45908	34.01057	32.66636	-118.91583	processed	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	Online	Seismic:Active:MCS	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	2000-06-29	open	https://walrus.wr.usgs.gov/namss/survey/a-1-00-sc-multichannel/dataset/	Unspecified	namss.A-1-00-SC.mcs.sparker.zip					dataset	Unspecified		Unspecified	249.6 MB	2000-06-05	creation	Data zip file	https://walrus.wr.usgs.gov/namss/data/2000/namss.A-1-00-SC.mcs.sparker.zip										Southern California	Stack	Seismic:Reflection		hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	DigitalSeg:DigitallyAcquired		2000-06-29	2000-06-05	2016-05-23	ptriezenberg@usgs.gov	Peter Triezenberg	U.S. Geological Survey	pointOfContact	2018-03-16	Seismic Metadata v.1
	digital											Hydrophone_Streamer											SeismicSource_Gun_Air						410	no	WGS84	-119.72170	34.40989	34.10087	-120.11787	processed	rsliter@usgs.gov	Ray Sliter	U.S. Geological Survey	custodian	Online	Seismic:Active:MCS	Unspecified	Unspecified	Unspecified	resourceProvider		open	https://walrus.wr.usgs.gov/namss/survey/a-1-02-sc_gimcs/dataset/	Stacked multichannel seismic reflection data of cruise A-1-02-SC	namss.A-1-02-SC.mcs.airgun.zip					dataset	Unspecified		Unspecified	393.3 MB	2002-06-14	creation	Dataset zip file	https://walrus.wr.usgs.gov/namss/data/2002/namss.A-1-02-SC.mcs.airgun.zip	William R. Normark, Michael A. Fisher, Christina E. Gutmacher, Ray Sliter, Lori Hibbeler, Beth Feingold, and Jane A. Reid	2003-01-01	published		USGS Publications Warehouse	https://pubs.er.usgs.gov/publication/ofr2003110		Cruise report for A1-02-SC southern California CABRILLO project, Earthquake Hazards Task	Open-File Report 2003-110 	Southern California		Seismic:Reflection	A two-week marine geophysical survey obtained sidescan-sonar images and multiple sets of high-resolution seismic-reflection profiles in the southern California offshore area between Point Arguello and Point Dume. The data were obtained to support two project activities of the United States Geological Survey (USGS) Coastal and Marine Geology (CMG) Program: (1) the evaluation of the geologic hazards posed by earthquake faults and landslides in the offshore areas of Santa Barbara Channel and western Santa Monica Basin and (2) determine the location of active hydrocarbon seeps in the vicinity of Point Conception as part of a collaborative study with the Minerals Management Service (MMS). The 2002 cruise, A1-02- SC, is the fourth major data-collection effort in support of the first objective (Normark et al., 1999a, b; Gutmacher et al., 2000).	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	DigitalSeg:DigitallyAcquired		2002-06-29	2002-06-14	2017-02-08	ptriezenberg@usgs.gov	Peter Triezenberg	U.S. Geological Survey	pointOfContact	2018-03-16	Seismic Metadata v.1
	digital											Hydrophone_Streamer											SeismicSource_Sparker						410	no	WGS84	-119.77193	34.44872	34.24932	-120.11137	processed	rsliter@usgs.gov	Ray Sliter	U.S. Geological Survey	custodian	Online	Seismic:Active:MCS	Unspecified	Unspecified	Unspecified	resourceProvider		open	https://walrus.wr.usgs.gov/namss/survey/a-1-02-sc_msmcs/dataset/	Stacked multi-channel minisparker seismic-reflection data of cruise A-1-02-SC	namss.A-1-02-SC.mcs.sparker.zip					dataset	Unspecified		Unspecified	396.2 MB	2002-06-14	creation	Dataset zip file	https://walrus.wr.usgs.gov/namss/data/2002/namss.A-1-02-SC.mcs.sparker.zip	William R. Normark, Michael A. Fisher, Christina E. Gutmacher, Ray Sliter, Lori Hibbeler, Beth Feingold, and Jane A. Reid	2003-01-01	published		USGS Publications Warehouse	https://pubs.er.usgs.gov/publication/ofr2003110		Cruise report for A1-02-SC southern California CABRILLO project, Earthquake Hazards Task	Open-File Report 2003-110 		Stack	Seismic:Reflection	A two-week marine geophysical survey obtained sidescan-sonar images and multiple sets of high-resolution seismic-reflection profiles in the southern California offshore area between Point Arguello and Point Dume. The data were obtained to support two project activities of the United States Geological Survey (USGS) Coastal and Marine Geology (CMG) Program: (1) the evaluation of the geologic hazards posed by earthquake faults and landslides in the offshore areas of Santa Barbara Channel and western Santa Monica Basin and (2) determine the location of active hydrocarbon seeps in the vicinity of Point Conception as part of a collaborative study with the Minerals Management Service (MMS). The 2002 cruise, A1-02- SC, is the fourth major data-collection effort in support of the first objective (Normark et al., 1999a, b; Gutmacher et al., 2000).	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	DigitalSeg:DigitallyAcquired		2002-06-29	2002-06-14	2017-02-07	ptriezenberg@usgs.gov	Peter Triezenberg	U.S. Geological Survey	pointOfContact	2018-03-16	Seismic Metadata v.1
DFS-V	digital		2374.39200		9.44880	24.99360						Hydrophone_Streamer	6.00000	2000		Distance	24.99360		6.09600			202.99680	Other				Glorita Tide	Geodigit	SEGP1	undocumented	NAD27	-92.09660	28.00779	27.94530	-92.18261	processed	matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	Online	Seismic:Active:MCS	matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	2004-01-25	open	https://walrus.wr.usgs.gov/namss/survey/b-00-79-la/dataset/	These data were acquired by BOEM (formerly MMS and USGS).  Under the terms of procurement, these data are to be available to the public 25 years after the issuance of the exploration permit.	namss.B-00-79-LA.mcs.vaporchoc.zip					dataset	Unspecified		Unspecified	7.5 MB	1979-01-01	creation	Data zip file	https://walrus.wr.usgs.gov/namss/data/1979/namss.B-00-79-LA.mcs.vaporchoc.zip										South Marsh Island	Stack	Seismic:Reflection	These data were acquired commercially for geophysical and geological (G&G) exploration of oil and gas prospects on the U.S. Outer Continental Shelf (OCS).  The Dept. of Interior, which regulates G&G activities on the OCS, acquired these data in order to ensure that the Federal government received fair market value for leases issued for oil and gas production on the OCS, and to accomplish other regulatory functions.	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	DigitalSeg:DigitallyAcquired	MCS Data transferred from BOEM to USGS for posting on NAMSS. Limited information available.	1979-01-31	1979-01-01	2016-05-23	ptriezenberg@usgs.gov	Peter Triezenberg	U.S. Geological Survey	pointOfContact	2018-03-16	Seismic Metadata v.1
DFS-III	digital								1			Hydrophone_Streamer								10			SeismicSource_Gun_Air	1700.00000	Cubic Inches		Atlantic Seal	Digicon	SEGP1	undocumented	NAD83	-70.39941	40.58820	37.85201	-74.59488	processed	matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	Online	Seismic:Active:MCS	matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	2000-04-23	open	https://walrus.wr.usgs.gov/namss/survey/b-01-75-at/dataset/	These data were acquired by BOEM (formerly MMS and USGS).  Under the terms of procurement, these data are to be available to the public 25 years after the issuance of the exploration permit.	namss.B-01-75-AT.mcs.airgun.zip					dataset	Unspecified		Unspecified	2.4 GB	1975-04-01	creation	Data zip file	https://walrus.wr.usgs.gov/namss/data/1975/namss.B-01-75-AT.mcs.airgun.zip										Baltimore Canyon	Migration:Depth, Migration, Other, Stack	Seismic:Reflection, Seismic:Velocity	These data were acquired commercially for geophysical and geological (G&G) exploration of oil and gas prospects on the U.S. Outer Continental Shelf (OCS).  The Dept. of Interior, which regulates G&G activities on the OCS, acquired these data in order to ensure that the Federal government received fair market value for leases issued for oil and gas production on the OCS, and to accomplish other regulatory functions.	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	DigitalSeg:DigitallyAcquired	MCS Data transferred from BOEM to USGS for posting on NAMSS. Limited information available.	1975-04-30	1975-04-01	2016-05-23	ptriezenberg@usgs.gov	Peter Triezenberg	U.S. Geological Survey	pointOfContact	2018-03-16	Seismic Metadata v.1
DFS-IV	digital		2349.39840		11.43000	49.98720					48	Hydrophone_Streamer	6.00000	2000		Distance	24.99360		15.24000	7		270.96720	Other				Deep Sea Explorer	Geosource	SEGP1	undocumented	NAD27	-89.17095	28.95265	28.57102	-89.37113	processed	matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	Online	Seismic:Active:MCS	matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	2002-05-25	open	https://walrus.wr.usgs.gov/namss/survey/b-01-77-la/dataset/	These data were acquired by BOEM (formerly MMS and USGS).  Under the terms of procurement, these data are to be available to the public 25 years after the issuance of the exploration permit.	namss.B-01-77-LA.mcs.stagaray.zip					dataset	Unspecified		Unspecified	15.4 MB	1977-05-01	creation	Data zip file	https://walrus.wr.usgs.gov/namss/data/1977/namss.B-01-77-LA.mcs.stagaray.zip										South Pass	Stack	Seismic:Reflection	These data were acquired commercially for geophysical and geological (G&G) exploration of oil and gas prospects on the U.S. Outer Continental Shelf (OCS).  The Dept. of Interior, which regulates G&G activities on the OCS, acquired these data in order to ensure that the Federal government received fair market value for leases issued for oil and gas production on the OCS, and to accomplish other regulatory functions.	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	DigitalSeg:DigitallyAcquired	MCS Data transferred from BOEM to USGS for posting on NAMSS. Limited information available.	1977-05-31	1977-05-01	2016-05-23	ptriezenberg@usgs.gov	Peter Triezenberg	U.S. Geological Survey	pointOfContact	2018-03-16	Seismic Metadata v.1
	digital											Hydrophone_Streamer											SeismicSource_Gun_Air						SEGP1	undocumented	NAD83	-72.03049	39.87120	39.59591	-72.47954	processed	matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	Online	Seismic:Active:MCS	matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	2005-01-24	open	https://walrus.wr.usgs.gov/namss/survey/b-01-78-at/dataset/	These data were acquired by BOEM (formerly MMS and USGS).  Under the terms of procurement, these data are to be available to the public 25 years after the issuance of the exploration permit.	namss.B-01-78-AT.mcs.airgun.zip					dataset	Unspecified		Unspecified	16.9 MB	1978-01-01	creation	Data zip file	https://walrus.wr.usgs.gov/namss/data/1978/namss.B-01-78-AT.mcs.airgun.zip										Atlantic Ocean	Stack	Seismic:Reflection	These data were acquired commercially for geophysical and geological (G&G) exploration of oil and gas prospects on the U.S. Outer Continental Shelf (OCS).  The Dept. of Interior, which regulates G&G activities on the OCS, acquired these data in order to ensure that the Federal government received fair market value for leases issued for oil and gas production on the OCS, and to accomplish other regulatory functions.	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	DigitalSeg:DigitallyAcquired	MCS Data transferred from BOEM to USGS for posting on NAMSS. Limited information available.	1978-01-31	1978-01-01	2016-05-23	ptriezenberg@usgs.gov	Peter Triezenberg	U.S. Geological Survey	pointOfContact	2018-03-16	Seismic Metadata v.1
MDS-10	digital	63.09360	3599.07840		10.05840				1		48	Hydrophone_Streamer	8.00000	4000		Distance	37.49040		4.57200	14		214.27440	SeismicSource_Gun_Air	2682.00000	Cubic Inches				SEGP1	undocumented	NAD83	-74.22113	36.35034	30.44691	-80.29978	processed	matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	Online	Seismic:Active:MCS	matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	2005-01-24	open	https://walrus.wr.usgs.gov/namss/survey/b-01-80-at/dataset/	These data were acquired by BOEM (formerly MMS and USGS).  Under the terms of procurement, these data are to be available to the public 25 years after the issuance of the exploration permit.	namss.B-01-80-AT.mcs.airgun.zip					dataset	Unspecified		Unspecified	2.4 GB	1980-01-01	creation	Data zip file	https://walrus.wr.usgs.gov/namss/data/1980/namss.B-01-80-AT.mcs.airgun.zip													These data were acquired commercially for geophysical and geological (G&G) exploration of oil and gas prospects on the U.S. Outer Continental Shelf (OCS).  The Dept. of Interior, which regulates G&G activities on the OCS, acquired these data in order to ensure that the Federal government received fair market value for leases issued for oil and gas production on the OCS, and to accomplish other regulatory functions.	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	DigitalSeg:DigitallyAcquired	MCS Data transferred from BOEM to USGS for posting on NAMSS. Limited information available.	1980-01-31	1980-01-01	2016-05-23	ptriezenberg@usgs.gov	Peter Triezenberg	U.S. Geological Survey	pointOfContact	2018-03-16	Seismic Metadata v.1
	digital		2940.10080		11.27760	14.99616			1		75	Hydrophone_Streamer	8.00000	4000		Distance	22.49424		11.27760	14		216.71280	SeismicSource_Gun_Air	2511.00000	Cubic Inches		Rob Ray I	Geosource	SEGP1	undocumented	NAD83	-66.81061	41.01726	30.18925	-79.63947	processed	matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	Online	Seismic:Active:MCS	matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	2006-05-25	open	https://walrus.wr.usgs.gov/namss/survey/b-01-81-at/dataset/	These data were acquired by BOEM (formerly MMS and USGS).  Under the terms of procurement, these data are to be available to the public 25 years after the issuance of the exploration permit.	namss.B-01-81-AT.mcs.airgun.zip					dataset	Unspecified		Unspecified	4.4 GB	1981-05-01	creation	Data zip file	https://walrus.wr.usgs.gov/namss/data/1981/namss.B-01-81-AT.mcs.airgun.zip										Atlantic Ocean	Migration, Other, Stack	Seismic:Reflection, Seismic:Velocity	These data were acquired commercially for geophysical and geological (G&G) exploration of oil and gas prospects on the U.S. Outer Continental Shelf (OCS).  The Dept. of Interior, which regulates G&G activities on the OCS, acquired these data in order to ensure that the Federal government received fair market value for leases issued for oil and gas production on the OCS, and to accomplish other regulatory functions.	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	DigitalSeg:DigitallyAcquired	MCS Data transferred from BOEM to USGS for posting on NAMSS. Limited information available.	1981-05-31	1981-05-01	2016-05-23	ptriezenberg@usgs.gov	Peter Triezenberg	U.S. Geological Survey	pointOfContact	2018-03-16	Seismic Metadata v.1
DFS-V	digital	64.99860	3200.00071		4.87680	33.29940			1		96	Hydrophone_Streamer		4000		Distance	33.29940					293.00119	SeismicSource_Gun_Air	2000.00000	Cubic Inches		Ida Green	Petroleum Services	SEGP1	undocumented	WGS84	-79.05779	27.73637	23.05750	-81.83333	processed	matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	Online	Seismic:Active:MCS	matthew.wilson@boem.gov	Matthew Wilson	Bureau of Ocean Energy Management	pointOfContact	2007-02-22	open	https://walrus.wr.usgs.gov/namss/survey/b-01-82-at/dataset/	These data were acquired by BOEM (formerly MMS and USGS).  Under the terms of procurement, these data are to be available to the public 25 years after the issuance of the exploration permit.	namss.B-01-82-AT.mcs.airgun.zip					dataset	Unspecified		Unspecified	2.0 GB	1982-02-01	creation	Data zip file	https://walrus.wr.usgs.gov/namss/data/1982/namss.B-01-82-AT.mcs.airgun.zip										Cay Sal (Old Bahama Channel)	Migration, Stack	Seismic:Reflection	These data were acquired commercially for geophysical and geological (G&G) exploration of oil and gas prospects on the U.S. Outer Continental Shelf (OCS).  The Dept. of Interior, which regulates G&G activities on the OCS, acquired these data in order to ensure that the Federal government received fair market value for leases issued for oil and gas production on the OCS, and to accomplish other regulatory functions.	hart@usgs.gov	Patrick Hart	U.S. Geological Survey	pointOfContact	DigitalSeg:DigitallyAcquired	MCS Data transferred from BOEM to USGS for posting on NAMSS. Limited information available.	1982-02-28	1982-02-01	2016-05-23	ptriezenberg@usgs.gov	Peter Triezenberg	U.S. Geological Survey	pointOfContact	2018-03-16	Seismic Metadata v.1
