https://walrus.wr.usgs.gov/namss/wms?SERVICE=WMS&VERSION=1.1.1&REQUEST=GetFeatureList&LAYERS=namss&STYLES=&BBOX=-26592747.888525955%2C6281289.236362646%2C-7200979.560689883%2C14558502.155307813&WIDTH=991&HEIGHT=423&FORMAT=image%2Fpng&TRANSPARENT=TRUE&BGCOLOR=0xffffff&FILTERS=data-type%3B2D%20Multichannel%20Seismic&SRS=EPSG%3A3857&QUERY_LAYERS=namss&INFO_FORMAT=text%2Fcsv
Survey ID (Name),Contributor,Data Type,Year,Planning Area (Region),Protraction Area,"Other Survey Identifiers (Permit, etc.)",Link To Survey Web Page
L-11-11-BS MCS,U.S. Geological Survey,2D Multichannel Seismic,2011,"Aleutian Basin,Bowers Basin",,MGL1111,https://walrus.wr.usgs.gov/namss/survey/l-11-11-bs-mcs/
L-09-11-GA MCS,U.S. Geological Survey,2D Multichannel Seismic,2011,"Gulf of Alaska,Kodiak","Albatross Bank,Ely Seamount,Kodiak East,Pratt Seamount,Surveyor Seachannel",MGL1109,https://walrus.wr.usgs.gov/namss/survey/l-09-11-ga-mcs/
L-01-07-AR,Geological Survey of Canada,2D Multichannel Seismic,2007,Beaufort Sea,,,https://walrus.wr.usgs.gov/namss/survey/l-01-07-ar/
P-1-92-AR,Pacific Coastal and Marine Science Center,2D Multichannel Seismic,1992,Chukchi Sea,,,https://walrus.wr.usgs.gov/namss/survey/p-1-92-ar/
P-1-88-AR,Pacific Coastal and Marine Science Center,2D Multichannel Seismic,1988,Chukchi Sea,,88013,https://walrus.wr.usgs.gov/namss/survey/p-1-88-ar/
G-01-88-EG,U.S. Geological Survey,2D Multichannel Seismic,1988,Gulf of Alaska,"Blying Sound,Cordova,Dall Seamount,Middleton Island,Portlock Bank",g188eg and TACT,https://walrus.wr.usgs.gov/namss/survey/g-01-88-eg/
B-15-87-AR,Bureau of Ocean Energy Management,2D Multichannel Seismic,1987,Beaufort Sea,"Dease Inlet,Harrison Bay North",87-15,https://walrus.wr.usgs.gov/namss/survey/b-15-87-ar/
B-32-84-AR,Bureau of Ocean Energy Management,2D Multichannel Seismic,1984,"Beaufort Sea,Chukchi Sea","Barrow,Barrow Canyon,Dease Inlet,Harrison Bay North",84-32,https://walrus.wr.usgs.gov/namss/survey/b-32-84-ar/
B-30-84-AK,Bureau of Ocean Energy Management,2D Multichannel Seismic,1984,"North Aleutian Basin,St. George Basin","Akutan North,Bristol Bay,Chignik,Cold Bay,False Pass,Stepovak Bay,St. George East",84-30,https://walrus.wr.usgs.gov/namss/survey/b-30-84-ak/
B-22-84-AK,Bureau of Ocean Energy Management,2D Multichannel Seismic,1984,"North Aleutian Basin,St. George Basin","Akutan,Akutan North,Cold Bay,St. George East",84-22,https://walrus.wr.usgs.gov/namss/survey/b-22-84-ak/
L-4-83-BS,Pacific Coastal and Marine Science Center,2D Multichannel Seismic,1983,Norton Basin,"Norton Sound,Solomon,St. Michael",,https://walrus.wr.usgs.gov/namss/survey/l-4-83-bs/
B-33-83-AK,Bureau of Ocean Energy Management,2D Multichannel Seismic,1983,North Aleutian Basin,"Naknek,Ugashik,Ugashik West",,https://walrus.wr.usgs.gov/namss/survey/b-33-83-ak/
B-47-83-AK,Bureau of Ocean Energy Management,2D Multichannel Seismic,1983,St. George Basin,"Akutan North,St. George East",83-47,https://walrus.wr.usgs.gov/namss/survey/b-47-83-ak/
